名称,来源,页码,环阶,施法时间,持续时间,学派,范围,成分,职业,可选/变体 职业,子职,文本,升环施法
铜墙铁壁,PHB'24,282,6环,1 小时,24 小时,防护,触及,"声音, 姿势, 材料 (一根 10+GP 的银权杖)","吟游诗人 (PHB'24), 法师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 防护师 (PHB'24) 法师","你制造一个覆盖至多 2500 平方尺地面面积的受保护区域。保护区域至高可达 20 尺，并随你的意愿塑形为一个 50 尺的方形区域，或一百个相接的 5 尺方形区域，或二十五个相接的 10 尺方形区域。

施展该法术时，你可以指明特定个体以让其不受法术效应的影响。你还可以指明一句口令，当在保护区域 5 尺内并大声说出口令时，即可让说出口令的人对这些效应免疫。

法术在受保护区域内创造出下述效应。解除魔法对铜墙铁壁本身没有效果，但下述每个效应都能被分别解除。如果所有四个效应均被解除，则本法术结束。如果你 365 日中每日均对同一区域施展该法术，此法术便会持续至其所有效应均被解除为止。

过道 Corridors. 浓雾充斥受保护的过道使其处于重度遮蔽。此外，除你以外的生物在过道上遇到需要选择方向的岔路或交叉路口时，有50%%概率误认错的方向为正确的前进方向。

门 Doors. 所有受保护区域内的门都被魔法性地锁住，如同被秘法锁封上一般。此外，你还可以用一道幻象掩盖至多十扇门使其看起来有如普通墙面的一部分。

楼梯 Stairs. 受保护区域内的楼梯从上到下布满了蛛网，如同受到蛛网术的效应一般。铜墙铁壁法术持续期间，这些蛛网即使被摧毁也可以在10分钟后再次生成。

其他法术效应 Other Spell Effect. 在要塞的保护区域内布置你指定的下列魔法效应之一：

在四条过道中布置舞光术，你可以为光点其指定一个简单的程序，使其在铜墙铁壁持续期间重复此程序。在两个地点布置魔嘴术在两个地点布置臭云术（在铜墙铁壁法术持续期间，臭气即使被驱散也会在 10 分钟后重新聚集）在一条过道或一个房间中布置一道造风术（法术持续期间，风会一直吹）在一个至多5尺的方形区域布置一道暗示术。任何进入该区域的生物将通过精神受到法术的暗示",
镜影术,PHB'24,299,2环,动作,1 分钟,幻术,自身,"声音, 姿势","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 巨灵贵族 (FRHoF) 圣武士, 幻术师 (PHB'24) 法师, 装甲师 (EFA) 奇械师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 迷惑 (PHB'24) 吟游诗人","三个你自身的幻象分身出现在你所处的空间中。直到法术终止前，分身都会随你移动，并模仿你的动作和位置变换，使人无法追踪判断哪一个是你的真身。

在法术持续时间内，每当一个生物攻击命中你时，为每个剩余分身投掷一个d6，只要有任一 d6 骰出 3 或以上，一个分身代你承受本次命中并随之被摧毁。分身无视所有其他的伤害和效应。三个分身都被摧毁时，法术随之结束。

如果一名生物处于目盲状态，或拥有盲视，或拥有真实视觉，则该法术无法影响该生物。",
闪现术,PHB'24,248,3环,动作,1 分钟,变化,自身,"声音, 姿势","奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 至高妖精 (PHB'24) 魔契师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你在法术持续时间内每次自己回合结束时掷一次1d6。结果为4~6时，你从你现在身处的存在位面消失，并出现在以太位面（若你本已身处以太位面，此法术会立即终止）。在你身处以太位面期间，你可以观测到你所离开位面的黑白影像，但只限于60尺之内。你只能影响其他身处以太位面的生物，或被其影响。并且处于其他位面的生物在没有能够观测到以太位面事物的特殊能力的情况下，同样无法观测到你。

你会在你的下一回合开始时返回其他位面；如果当你法术终止时身处以太位面，你同样会返回其他位面。你返回原先位面时会出现在一个你原先位置10尺之内你可见的未被占据的空间之中。若在此范围内没有未被占据的空间，则你会出现在最近的未被占据的空间之中",
闪电束,PHB'24,292,3环,动作,立即,塑能,自身,"声音, 姿势, 材料 (一些毛皮和一把水晶权杖)","术士 (PHB'24), 法师 (PHB'24)",,"塑能师 (PHB'24) 法师, 大地 (温带) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 海洋 (PHB'24) 德鲁伊, 装甲师 (EFA) 奇械师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",一束 100 尺长，5 尺宽的线状闪电从你的位置向你指定的方向爆发迸出。在线状区域内的每个生物必须进行一次敏捷豁免，豁免失败者将受到8d6点闪电伤害，豁免成功则受到半数伤害。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比三环高一环，此伤害就增加1d6。
闪电箭矢,PHB'24,292,3环,附赠动作,立即,变化,自身,"声音, 姿势",游侠 (PHB'24),,逸闻 (PHB'14) 吟游诗人,"当你的攻击命中一个目标或失手时，该武器的弹药或该武器本身变为一束闪电。作为目标从这次攻击中受到的任何伤害或其他效果的替代，若该攻击命中，则目标受到4d8点闪电伤害，若该攻击未命中，则受到一半伤害。无论你的攻击是否命中，目标周围 10 尺范围内的每个生物都必须进行一次敏捷豁免，豁免失败则受到2d8点闪电伤害，豁免成功则受到半数伤害。

在此之后，该弹药或武器变回其正常形态。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比三环高一环，上述两种效应的伤害都各增加1d8。
闪耀斩,PHB'24,316,2环,附赠动作,"专注, 至多1 分钟",变化,自身,声音,圣武士 (PHB'24),,"战地匠师 (EFA) 奇械师, 逸闻 (PHB'14) 吟游诗人",被该次攻击检定命中的目标会在此次攻击中额外受到2d6点光耀伤害。直至法术结束，目标会发出半径 5 尺的明亮光照，对其进行的攻击检定具有优势，且其无法受益于隐形状态。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比二环高一环，其伤害就增加1d6。
问道自然,PHB'24,252,5环,1 分钟,1 分钟,预言 (仪式),自身,"声音, 姿势","德鲁伊 (PHB'24), 游侠 (PHB'24)",,"兽心 (PHB'24) 野蛮人, 古贤 (PHB'24) 圣武士","你与自然的灵魂沟通并以此获得周围环境的信息。在户外时，该法术可以让你了解3里内大地的状况。在洞穴和其他天然地下场所中，其范围缩小为 300 尺半径区域内。自然环境中被建筑覆盖的区域里（比如城堡或城镇中）法术无法生效。

你立即获得的自然资讯至多与该地域三个方面的主题相关，在以下项目中进行选择：

聚居地位置通往其他位面的传送门位置一个挑战等级 10+ 的类型为天族、妖精、邪魔、元素或亡灵的生物（由DM选择）的位置区域内最广泛分布的植物、矿物或动物（你选择得知其中一项）水体的位置例如，你可以侦测到某个强大怪物在区域中的位置、水体位置以及附近城镇的方位。",
防护善恶,PHB'24,309,1环,动作,"专注, 至多10 分钟",防护,触及,"声音, 姿势, 材料 (一瓶 25+GP 的圣水，作为此法术的耗材)","圣武士 (PHB'24), 德鲁伊 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"奉献 (PHB'24) 圣武士, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 时械 (PHB'24) 术士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 防护师 (PHB'24) 法师",法术结束前，你使触碰的一名自愿生物获得针对下述生物类型的防护：异怪、天族、元素、妖精、邪魔、亡灵。此防护提供下述几种增益。上述生物类型的生物对目标的攻击检定具有劣势。目标不能被其附身，也不会因其陷入魅惑或恐慌状态。如果目标已经被具有上述生物类型的生物附身，或其魅惑或恐慌状态影响，目标后续进行的相关效应的豁免检定也将具有优势。,
防护毒素,PHB'24,310,2环,动作,1 小时,防护,触及,"声音, 姿势","圣武士 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24), 游侠 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你触碰一名生物并结束其陷入的中毒状态。在持续时间内，目标为避免陷入或结束中毒状态所做的豁免具有优势，且具有毒素伤害的抗性。,
防护法阵,PHB'24,293,3环,1 分钟,1 小时,防护,10 尺,"声音, 姿势, 材料 (总价值 100+GP 的盐和银粉，作为法术耗材)","圣武士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 防护师 (PHB'24) 法师","指定施法距离内地面上你能看见的一点，并以该处为中心创造一个 10 尺半径、20 尺高的柱状魔法能量。承载柱状能量的地面或其他平面上会显现出闪光的符文。

指定以下生物类型中的一种或多种：天族、元素、精类、邪魔、亡灵。法阵将会对被指定类型的生物产生以下效应：

该类生物不能以非魔法手段主动进入柱状区域内。如果该类生物试图使用传送或位面旅行进入此区域，则它必须先进行一次魅力豁免以判定其是否成功。该类生物具有劣势（对柱状区域内的目标进行攻击检定时）。柱状区域内的目标不受该类生物所魅惑、恐慌、或附身。施展该法术时，你可以选择让魔法作用于相反的方向来阻止特定种类的生物离开柱状区域内，以保护区域外的目标。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比三环高一环，法术持续时间就增加 1 小时。
防护能量,PHB'24,309,3环,动作,"专注, 至多1 小时",防护,触及,"声音, 姿势","奇械师 (EFA), 德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24), 牧师 (PHB'24)",,"古贤 (PHB'24) 圣武士, 复仇 (PHB'24) 圣武士, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 时械 (PHB'24) 术士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 荣耀 (PHB'24) 圣武士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 防护师 (PHB'24) 法师",法术持续时间内，你触碰的一名自愿生物具有你选择的一种伤害类型的抗性：强酸、寒冷、火焰、闪电、雷鸣。,
防死结界,PHB'24,261,4环,动作,8 小时,防护,触及,"声音, 姿势","圣武士 (PHB'24), 牧师 (PHB'24)",,"炼金师 (EFA) 奇械师, 生命 (PHB'24) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你触摸一名生物，并给予其对死亡的防护。在法术结束前，当目标的生命值首次降至0时，该目标的生命值改为降至1生命值，随后法术终止。

目标受到直接致死而不造成伤害的效应影响时，若该法术仍在生效，则改为目标受到的致死效应失效，随后法术终止。",
防活物护罩,PHB'24,241,5环,动作,"专注, 至多1 小时",防护,自身,"声音, 姿势",德鲁伊 (PHB'24),,,"一道灵光从你身上延伸而出并在持续时间内形成10尺光环区域。这道灵光会阻绝外面除亡灵生物和构装生物之外所有类型的生物，使它们无法穿过或触及内部。一名受影响的生物施展的法术、使用远程武器或触及武器发动的攻击可以穿过屏障。

若你移动时迫使受影响生物进入护罩内，则法术随之终止。",
阳炎射线,PHB'24,329,6环,动作,"专注, 至多1 分钟",塑能,自身,"声音, 姿势, 材料 (一面放大镜)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"塑能师 (PHB'24) 法师, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你发射一道 5 尺宽、60 尺长的线状阳炎射线。所有处于线状区域内的生物必须进行一次体质豁免。豁免失败者将受到6d8点光耀伤害，并且在你的下一回合前陷入目盲状态。豁免成功则伤害减半。

在法术终止前的任一回合内以一个魔法动作重新创造一道线状光芒。

在法术持续时间内，你的手中一点散发出耀眼的光芒。其光耀为周围提供 30 尺的明亮光照明亮光照，以及该范围外 30 尺的微光光照。这些光芒均视为等同于阳光。",
阳炎爆,PHB'24,329,8环,动作,立即,塑能,150 尺,"声音, 姿势, 材料 (一块太阳石)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"塑能师 (PHB'24) 法师, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","指定施法距离内一点，以其为中心周围 60 尺半径的球状区域闪耀出灿烂的阳光。所有球状区域中的生物进行一次体质豁免。豁免失败者将受到12d6点光耀伤害，并陷入持续 1 分钟的目盲状态。豁免成功则仅受到一半伤害。

因该法术陷入目盲状态的生物在其每回合结束时都可以再进行一次体质豁免，豁免成功则不再目盲。

该法术将驱散法术区域内所有由法术所创造的黑暗。",
降咒,PHB'24,246,3环,动作,"专注, 至多1 分钟",死灵,触及,"声音, 姿势","吟游诗人 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你触碰一名生物。该生物必须进行一次感知豁免并成功通过，否则将在法术持续时间内被诅咒。直到诅咒终止前，目标会遭受以下一项效应，由你选择：

选择一项属性。目标使用该属性所进行的属性检定和豁免检定具有劣势。目标对你发动的攻击检定具有劣势。在战斗中，目标在其每回合开始时必须进行一次感知豁免，豁免失败则在该回合中被迫执行回避动作。若你的攻击检定或法术对目标造成了伤害，则目标还会额外受到1d8暗蚀伤害。",升环施法 Using a Higher-Level Spell Slot. 使用四环法术位施展此法术时，你可以维持此法术的专注至多10分钟。使用五环及更高环阶的法术位施展此法术时，此法术无需专注，并且持续时间变为8小时（5~6环法术位）或24小时（7~8环法术位）。若你使用9环法术位施展此法术，则此法术会一直持续到被解除为止。
隐形仆役,PHB'24,336,1环,动作,1 小时,咒法 (仪式),60 尺,"声音, 姿势, 材料 (一些线和木头)","吟游诗人 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","该法术创造出一个隐形、无心智、无定形的中型力场。你可以在法术终止前命令它进行简单的工作。该仆役被创造出来后出现在施法距离内一处未占空间的地面上。其AC为 10，具有 1 生命值，力量为 2，且不能攻击。若仆从的生命值降至 0 ，则法术终止。

在每个自己回合内以一个附赠动作，你可以精神性的对仆役下达一道命令，使其移动至多 15 尺并与一个物件进行互动。仆役可以做人类能做到的简单工作，例如拿取东西、打扫卫生、修补东西、叠衣服、点火、上菜、倒饮料等。一旦你下达了命令，仆役就会尽全力去进行任务直至完成任务，并在此后等待你的下一个命令。

如果你命令仆从做一件需要它离开你身边 60 尺的工作，则法术随之终止。",
